location,propertyType,squaredMeter,room,bathroom,prices
COMITAN,Casa,54.0,2,1,586000
COMITAN,Casa,162.0,2,1,610000
COMITAN,Casa,90.0,3,3,4260000
COMITAN,Casa,296.0,2,1,500000
COMITAN,Casa,150.0,4,4,2000000
COMITAN,Casa,180.0,3,1,1382000
COMITAN,Casa,220.0,2,1,850000
COMITAN,Casa,71.0,4,4,2500000
COMITAN,Casa,120.0,2,1,950000
COMITAN,Casa,120.0,2,1,1059480
COMITAN,Casa,46.0,2,1,2778100
COMITAN,Casa,255.0,2,1,1200000
COMITAN,Casa,255.0,4,2,2100000
COMITAN,Casa,450.0,4,2,2100000
COMITAN,Casa,200.0,3,3,3000000
COMITAN,Casa,100.0,5,4,1650000
COMITAN,Casa,119.0,3,2,2500000
TUXTLA GUTIERREZ,Casa,230.0,5,4,270000
TUXTLA GUTIERREZ,Departamento,46.0,2,1,380000
TUXTLA GUTIERREZ,Casa,120.0,2,2,381834
TUXTLA GUTIERREZ,Departamento,50.0,2,1,390000
TUXTLA GUTIERREZ,Departamento,49.0,2,1,420000
TUXTLA GUTIERREZ,Departamento,42.0,2,1,420000
TUXTLA GUTIERREZ,Departamento,100.0,2,1,430000
TUXTLA GUTIERREZ,Departamento,100.0,2,1,430000
TUXTLA GUTIERREZ,Departamento,100.0,2,1,440000
TUXTLA GUTIERREZ,Casa,100.0,2,1,446000
TUXTLA GUTIERREZ,Casa,90.0,3,1,446000
TUXTLA GUTIERREZ,Casa,100.0,3,1,446000
TUXTLA GUTIERREZ,Casa,100.0,2,1,446000
TUXTLA GUTIERREZ,Departamento,120.0,2,1,450000
TUXTLA GUTIERREZ,Casa,90.0,2,1,465000
TUXTLA GUTIERREZ,Casa,90.0,2,1,465000
TUXTLA GUTIERREZ,Casa,55.0,3,1,473000
TUXTLA GUTIERREZ,Departamento,70.0,3,1,476000
TUXTLA GUTIERREZ,Departamento,50.0,3,1,476000
TUXTLA GUTIERREZ,Departamento,55.0,2,2,480000
TUXTLA GUTIERREZ,Departamento,56.0,2,1,480000
TUXTLA GUTIERREZ,Departamento,51.0,2,1,485000
TUXTLA GUTIERREZ,Departamento,50.0,2,1,490000
TUXTLA GUTIERREZ,Departamento,55.0,2,1,490000
TUXTLA GUTIERREZ,Departamento,45.0,3,1,495000
TUXTLA GUTIERREZ,Departamento,52.0,2,1,498000
TUXTLA GUTIERREZ,Departamento,110.0,2,1,499400
TUXTLA GUTIERREZ,Departamento,51.0,2,1,500000
TUXTLA GUTIERREZ,Departamento,51.0,1,1,500000
TUXTLA GUTIERREZ,Departamento,52.0,2,1,510000
TUXTLA GUTIERREZ,Departamento,54.0,2,1,510000
TUXTLA GUTIERREZ,Casa,132.0,2,1,510000
TUXTLA GUTIERREZ,Casa,56.0,3,2,512500
TUXTLA GUTIERREZ,Departamento,60.0,2,1,520000
TUXTLA GUTIERREZ,Departamento,55.0,2,1,520000
TUXTLA GUTIERREZ,Casa,54.0,2,1,520000
TUXTLA GUTIERREZ,Departamento,54.0,2,1,520000
TUXTLA GUTIERREZ,Casa,75.0,3,3,528645
TUXTLA GUTIERREZ,Departamento,75.0,2,1,530000
TUXTLA GUTIERREZ,Casa,52.0,1,1,530000
TUXTLA GUTIERREZ,Casa,49.0,2,1,540000
TUXTLA GUTIERREZ,Casa,60.0,2,1,540000
TUXTLA GUTIERREZ,Casa,56.0,2,1,540000
TUXTLA GUTIERREZ,Casa,36.0,2,1,545000
TUXTLA GUTIERREZ,Casa,52.0,2,1,545000
TUXTLA GUTIERREZ,Departamento,50.0,2,1,550000
TUXTLA GUTIERREZ,Departamento,51.0,2,1,550000
TUXTLA GUTIERREZ,Departamento,57.0,2,1,550000
TUXTLA GUTIERREZ,Departamento,50.0,2,1,550000
TUXTLA GUTIERREZ,Departamento,60.0,2,1,550000
TUXTLA GUTIERREZ,Departamento,54.0,2,1,560000
TUXTLA GUTIERREZ,Casa,57.0,2,1,560000
TUXTLA GUTIERREZ,Departamento,50.0,2,1,560000
TUXTLA GUTIERREZ,Casa,54.0,2,1,560000
TUXTLA GUTIERREZ,Departamento,45.0,2,2,560000
TUXTLA GUTIERREZ,Departamento,132.0,2,1,560000
TUXTLA GUTIERREZ,Departamento,54.0,2,1,570000
TUXTLA GUTIERREZ,Departamento,60.0,2,1,570000
TUXTLA GUTIERREZ,Departamento,54.0,2,1,580000
TUXTLA GUTIERREZ,Departamento,60.0,2,1,580000
TUXTLA GUTIERREZ,Departamento,60.0,2,1,585000
TUXTLA GUTIERREZ,Casa,60.0,2,1,590000
TUXTLA GUTIERREZ,Departamento,60.0,2,1,590000
TUXTLA GUTIERREZ,Departamento,53.0,2,1,595000
TUXTLA GUTIERREZ,Casa,48.0,3,3,595000
TUXTLA GUTIERREZ,Departamento,57.0,2,1,600000
TUXTLA GUTIERREZ,Casa,56.0,1,1,600000
TUXTLA GUTIERREZ,Casa,50.0,2,1,600000
TUXTLA GUTIERREZ,Departamento,100.0,2,1,600000
TUXTLA GUTIERREZ,Departamento,52.0,2,1,600000
TUXTLA GUTIERREZ,Departamento,57.0,2,1,600000
TUXTLA GUTIERREZ,Departamento,50.0,2,1,600000
TUXTLA GUTIERREZ,Departamento,51.0,2,1,600000
TUXTLA GUTIERREZ,Casa,55.0,2,1,600000
TUXTLA GUTIERREZ,Departamento,55.0,2,1,600000
TUXTLA GUTIERREZ,Departamento,90.0,2,1,605000
TUXTLA GUTIERREZ,Departamento,59.0,2,1,605000
TUXTLA GUTIERREZ,Departamento,90.0,2,2,610000
TUXTLA GUTIERREZ,Departamento,50.0,2,1,610000
TUXTLA GUTIERREZ,Casa,100.0,2,1,617913
TUXTLA GUTIERREZ,Departamento,100.0,2,2,620000
TUXTLA GUTIERREZ,Departamento,90.0,2,1,620000
TUXTLA GUTIERREZ,Departamento,90.0,2,1,620000
TUXTLA GUTIERREZ,Departamento,50.0,2,1,620000
TUXTLA GUTIERREZ,Departamento,60.0,2,1,620000
TUXTLA GUTIERREZ,Casa,59.0,2,1,620000
TUXTLA GUTIERREZ,Departamento,51.0,2,1,630000
TUXTLA GUTIERREZ,Departamento,59.0,2,1,630000
TUXTLA GUTIERREZ,Departamento,50.0,2,1,640000
TUXTLA GUTIERREZ,Casa,57.0,2,1,640000
TUXTLA GUTIERREZ,Casa,220.0,3,1,645000
TUXTLA GUTIERREZ,Casa,145.0,3,1,645000
TUXTLA GUTIERREZ,Departamento,200.0,2,1,650000
TUXTLA GUTIERREZ,Casa,120.0,4,3,650000
TUXTLA GUTIERREZ,Casa,57.0,1,1,650000
TUXTLA GUTIERREZ,Casa,56.0,2,1,650000
TUXTLA GUTIERREZ,Departamento,51.0,2,1,650000
TUXTLA GUTIERREZ,Departamento,50.0,2,2,660000
TUXTLA GUTIERREZ,Departamento,70.0,2,1,660000
TUXTLA GUTIERREZ,Departamento,100.0,2,2,660000
TUXTLA GUTIERREZ,Casa,73.0,2,3,660000
TUXTLA GUTIERREZ,Departamento,73.0,2,2,660000
TUXTLA GUTIERREZ,Casa,57.0,4,2,661000
TUXTLA GUTIERREZ,Casa,59.0,2,2,661000
TUXTLA GUTIERREZ,Casa,60.0,2,3,665941
TUXTLA GUTIERREZ,Casa,50.0,2,1,666000
TUXTLA GUTIERREZ,Departamento,60.0,2,2,670000
TUXTLA GUTIERREZ,Departamento,60.0,2,2,670000
TUXTLA GUTIERREZ,Departamento,100.0,2,1,670000
TUXTLA GUTIERREZ,Departamento,60.0,2,1,672000
TUXTLA GUTIERREZ,Departamento,56.0,2,1,672000
TUXTLA GUTIERREZ,Departamento,60.0,2,2,680000
TUXTLA GUTIERREZ,Departamento,50.0,2,1,680000
TUXTLA GUTIERREZ,Departamento,61.0,2,1,683550
TUXTLA GUTIERREZ,Departamento,300.0,2,1,683550
TUXTLA GUTIERREZ,Departamento,108.0,2,2,686587
TUXTLA GUTIERREZ,Casa,150.0,2,1,690000
TUXTLA GUTIERREZ,Casa,108.0,2,1,690000
TUXTLA GUTIERREZ,Casa,150.0,2,1,690000
TUXTLA GUTIERREZ,Departamento,57.0,3,2,692000
TUXTLA GUTIERREZ,Departamento,51.0,3,2,692000
TUXTLA GUTIERREZ,Departamento,57.0,2,2,700000
TUXTLA GUTIERREZ,Departamento,59.0,2,2,700000
TUXTLA GUTIERREZ,Casa,73.0,2,1,700000
TUXTLA GUTIERREZ,Casa,55.0,2,1,700000
TUXTLA GUTIERREZ,Departamento,60.0,2,1,700000
TUXTLA GUTIERREZ,Casa,60.0,2,1,700000
TUXTLA GUTIERREZ,Casa,73.0,2,1,700000
TUXTLA GUTIERREZ,Casa,60.0,2,1,716099
TUXTLA GUTIERREZ,Departamento,55.0,2,2,720000
TUXTLA GUTIERREZ,Casa,84.0,2,1,720000
TUXTLA GUTIERREZ,Casa,63.0,2,1,720000
TUXTLA GUTIERREZ,Casa,90.0,2,1,720000
TUXTLA GUTIERREZ,Casa,60.0,1,1,720000
TUXTLA GUTIERREZ,Departamento,101.0,2,1,720000
TUXTLA GUTIERREZ,Departamento,60.0,2,2,720000
TUXTLA GUTIERREZ,Casa,90.0,4,2,720423
TUXTLA GUTIERREZ,Casa,53.0,3,2,721000
TUXTLA GUTIERREZ,Casa,73.0,3,2,721000
TUXTLA GUTIERREZ,Casa,150.0,3,2,721000
TUXTLA GUTIERREZ,Casa,150.0,3,2,721000
TUXTLA GUTIERREZ,Departamento,63.0,2,2,725000
TUXTLA GUTIERREZ,Departamento,50.0,2,1,727650
TUXTLA GUTIERREZ,Departamento,63.0,2,1,730000
TUXTLA GUTIERREZ,Departamento,60.0,2,2,730000
TUXTLA GUTIERREZ,Departamento,59.0,2,1,730000
TUXTLA GUTIERREZ,Departamento,63.0,3,2,735000
TUXTLA GUTIERREZ,Departamento,90.0,2,1,735000
TUXTLA GUTIERREZ,Departamento,65.0,2,1,740000
TUXTLA GUTIERREZ,Departamento,65.0,2,1,740000
TUXTLA GUTIERREZ,Departamento,65.0,3,2,745000
TUXTLA GUTIERREZ,Departamento,65.0,2,1,745000
TUXTLA GUTIERREZ,Departamento,52.0,2,1,750000
TUXTLA GUTIERREZ,Departamento,80.0,2,1,750000
TUXTLA GUTIERREZ,Departamento,73.0,2,1,750000
TUXTLA GUTIERREZ,Casa,73.0,2,1,750000
TUXTLA GUTIERREZ,Casa,125.0,1,1,750000
TUXTLA GUTIERREZ,Departamento,150.0,2,1,750000
TUXTLA GUTIERREZ,Casa,150.0,1,1,750000
TUXTLA GUTIERREZ,Casa,84.0,2,1,750000
TUXTLA GUTIERREZ,Casa,120.0,2,1,750000
TUXTLA GUTIERREZ,Casa,60.0,2,1,760000
TUXTLA GUTIERREZ,Departamento,75.0,3,2,772000
TUXTLA GUTIERREZ,Casa,73.0,3,3,775500
TUXTLA GUTIERREZ,Casa,73.0,3,4,775500
TUXTLA GUTIERREZ,Departamento,73.0,2,1,780000
TUXTLA GUTIERREZ,Casa,73.0,2,1,780000
TUXTLA GUTIERREZ,Casa,160.0,2,1,780000
TUXTLA GUTIERREZ,Casa,160.0,2,1,780000
TUXTLA GUTIERREZ,Departamento,120.0,2,2,780000
TUXTLA GUTIERREZ,Casa,73.0,2,1,780000
TUXTLA GUTIERREZ,Casa,70.0,2,1,790000
TUXTLA GUTIERREZ,Casa,60.0,2,2,795000
TUXTLA GUTIERREZ,Casa,77.0,2,1,795000
TUXTLA GUTIERREZ,Departamento,72.0,2,1,795000
TUXTLA GUTIERREZ,Casa,140.0,2,1,799000
TUXTLA GUTIERREZ,Casa,55.0,2,1,799000
TUXTLA GUTIERREZ,Casa,70.0,2,1,799000
TUXTLA GUTIERREZ,Departamento,70.0,2,1,800000
TUXTLA GUTIERREZ,Departamento,72.0,2,1,800000
TUXTLA GUTIERREZ,Casa,57.0,1,2,800000
TUXTLA GUTIERREZ,Casa,112.0,2,1,800000
TUXTLA GUTIERREZ,Departamento,85.0,3,2,800000
TUXTLA GUTIERREZ,Departamento,82.0,3,2,800000
TUXTLA GUTIERREZ,Casa,100.0,3,2,804885
TUXTLA GUTIERREZ,Casa,128.0,2,1,810580
TUXTLA GUTIERREZ,Casa,90.0,4,3,812800
TUXTLA GUTIERREZ,Casa,70.0,4,4,812800
TUXTLA GUTIERREZ,Casa,73.0,2,2,815000
TUXTLA GUTIERREZ,Casa,73.0,4,1,820000
TUXTLA GUTIERREZ,Casa,216.0,4,1,820000
TUXTLA GUTIERREZ,Casa,130.0,2,1,820000
TUXTLA GUTIERREZ,Departamento,73.0,2,1,821363
TUXTLA GUTIERREZ,Casa,83.0,2,1,830000
TUXTLA GUTIERREZ,Departamento,90.0,3,2,830000
TUXTLA GUTIERREZ,Departamento,210.0,3,2,830000
TUXTLA GUTIERREZ,Departamento,210.0,3,2,830000
TUXTLA GUTIERREZ,Departamento,210.0,3,2,830000
TUXTLA GUTIERREZ,Casa,210.0,3,2,837000
TUXTLA GUTIERREZ,Casa,80.0,3,2,837000
TUXTLA GUTIERREZ,Casa,80.0,2,1,837000
TUXTLA GUTIERREZ,Departamento,80.0,2,1,840000
TUXTLA GUTIERREZ,Departamento,80.0,3,2,843000
TUXTLA GUTIERREZ,Casa,80.0,2,1,850000
TUXTLA GUTIERREZ,Departamento,80.0,2,1,850000
TUXTLA GUTIERREZ,Departamento,80.0,2,1,850000
TUXTLA GUTIERREZ,Casa,80.0,2,1,850000
TUXTLA GUTIERREZ,Casa,80.0,3,2,850000
TUXTLA GUTIERREZ,Casa,80.0,1,1,850000
TUXTLA GUTIERREZ,Casa,80.0,2,1,850000
TUXTLA GUTIERREZ,Casa,80.0,2,1,850000
TUXTLA GUTIERREZ,Casa,80.0,2,1,850000
TUXTLA GUTIERREZ,Casa,80.0,2,1,850000
TUXTLA GUTIERREZ,Casa,80.0,4,4,850000
TUXTLA GUTIERREZ,Casa,80.0,2,2,853243
TUXTLA GUTIERREZ,Departamento,80.0,3,2,857000
TUXTLA GUTIERREZ,Casa,130.0,3,2,874000
TUXTLA GUTIERREZ,Casa,144.0,3,1,876000
TUXTLA GUTIERREZ,Casa,120.0,4,3,880000
TUXTLA GUTIERREZ,Casa,180.0,2,1,880000
TUXTLA GUTIERREZ,Departamento,82.0,3,2,880000
TUXTLA GUTIERREZ,Departamento,73.0,3,2,880000
TUXTLA GUTIERREZ,Casa,73.0,3,2,885895
TUXTLA GUTIERREZ,Casa,128.0,2,1,886200
TUXTLA GUTIERREZ,Departamento,120.0,3,2,890000
TUXTLA GUTIERREZ,Casa,120.0,2,1,890000
TUXTLA GUTIERREZ,Casa,77.0,2,1,895000
TUXTLA GUTIERREZ,Casa,120.0,3,2,896200
TUXTLA GUTIERREZ,Casa,77.0,3,2,896200
TUXTLA GUTIERREZ,Casa,102.0,3,2,896200
TUXTLA GUTIERREZ,Casa,73.0,3,2,897000
TUXTLA GUTIERREZ,Casa,777.0,3,2,899000
TUXTLA GUTIERREZ,Casa,300.0,3,2,899000
TUXTLA GUTIERREZ,Casa,300.0,3,2,899000
TUXTLA GUTIERREZ,Casa,95.0,3,2,899000
TUXTLA GUTIERREZ,Casa,130.0,3,2,899000
TUXTLA GUTIERREZ,Casa,120.0,3,2,899000
TUXTLA GUTIERREZ,Casa,70.0,3,2,899000
TUXTLA GUTIERREZ,Casa,120.0,3,2,899000
TUXTLA GUTIERREZ,Casa,66.0,3,2,899000
TUXTLA GUTIERREZ,Casa,66.0,3,2,899000
TUXTLA GUTIERREZ,Casa,66.0,3,2,899000
TUXTLA GUTIERREZ,Casa,90.0,3,2,899000
TUXTLA GUTIERREZ,Casa,90.0,3,2,899000
TUXTLA GUTIERREZ,Casa,90.0,3,2,899000
TUXTLA GUTIERREZ,Casa,66.0,3,2,899000
TUXTLA GUTIERREZ,Casa,75.0,3,2,899000
TUXTLA GUTIERREZ,Casa,67.0,3,2,899000
TUXTLA GUTIERREZ,Casa,66.0,2,1,900000
TUXTLA GUTIERREZ,Casa,66.0,2,1,900000
TUXTLA GUTIERREZ,Casa,66.0,2,1,900000
TUXTLA GUTIERREZ,Casa,75.0,2,2,900000
TUXTLA GUTIERREZ,Casa,82.0,1,1,900000
TUXTLA GUTIERREZ,Casa,75.0,2,1,900000
TUXTLA GUTIERREZ,Departamento,82.0,3,2,900000
TUXTLA GUTIERREZ,Departamento,82.0,3,2,900000
TUXTLA GUTIERREZ,Departamento,82.0,3,2,900000
TUXTLA GUTIERREZ,Departamento,87.0,3,2,919000
TUXTLA GUTIERREZ,Casa,87.0,2,1,920000
TUXTLA GUTIERREZ,Casa,75.0,2,1,920000
TUXTLA GUTIERREZ,Casa,70.0,3,2,924000
TUXTLA GUTIERREZ,Casa,150.0,3,1,924000
TUXTLA GUTIERREZ,Casa,70.0,3,1,924000
TUXTLA GUTIERREZ,Casa,120.0,2,1,930000
TUXTLA GUTIERREZ,Casa,84.0,2,1,930000
TUXTLA GUTIERREZ,Casa,75.0,2,2,930000
TUXTLA GUTIERREZ,Casa,75.0,3,1,930000
TUXTLA GUTIERREZ,Departamento,75.0,3,2,935000
TUXTLA GUTIERREZ,Casa,75.0,2,1,940000
TUXTLA GUTIERREZ,Casa,75.0,3,2,948177
TUXTLA GUTIERREZ,Casa,75.0,3,2,948177
TUXTLA GUTIERREZ,Casa,75.0,4,3,950000
TUXTLA GUTIERREZ,Departamento,75.0,2,1,950000
TUXTLA GUTIERREZ,Casa,75.0,3,1,950000
TUXTLA GUTIERREZ,Casa,75.0,2,2,950000
TUXTLA GUTIERREZ,Casa,75.0,2,1,950000
TUXTLA GUTIERREZ,Casa,210.0,2,1,950000
TUXTLA GUTIERREZ,Casa,180.0,2,1,950000
TUXTLA GUTIERREZ,Casa,75.0,2,1,950000
TUXTLA GUTIERREZ,Casa,75.0,2,1,950000
TUXTLA GUTIERREZ,Casa,75.0,2,2,950000
TUXTLA GUTIERREZ,Casa,91.0,2,2,950000
TUXTLA GUTIERREZ,Casa,95.0,2,1,950000
TUXTLA GUTIERREZ,Casa,115.0,2,1,950000
TUXTLA GUTIERREZ,Casa,73.0,2,1,950000
TUXTLA GUTIERREZ,Casa,73.0,2,1,950000
TUXTLA GUTIERREZ,Casa,73.0,2,1,950000
TUXTLA GUTIERREZ,Casa,73.0,2,1,950000
TUXTLA GUTIERREZ,Casa,75.0,2,1,950000
TUXTLA GUTIERREZ,Departamento,90.0,3,2,950000
TUXTLA GUTIERREZ,Departamento,75.0,3,2,950000
TUXTLA GUTIERREZ,Departamento,75.0,3,2,950000
TUXTLA GUTIERREZ,Departamento,75.0,3,2,950000
TUXTLA GUTIERREZ,Casa,75.0,2,1,950000
TUXTLA GUTIERREZ,Departamento,75.0,3,2,954000
TUXTLA GUTIERREZ,Departamento,75.0,3,2,954000
TUXTLA GUTIERREZ,Casa,75.0,2,1,964579
TUXTLA GUTIERREZ,Casa,83.0,3,1,964579
TUXTLA GUTIERREZ,Departamento,85.0,3,2,965000
TUXTLA GUTIERREZ,Casa,180.0,2,1,970000
TUXTLA GUTIERREZ,Casa,90.0,3,2,970000
TUXTLA GUTIERREZ,Casa,140.0,2,1,972000
TUXTLA GUTIERREZ,Casa,86.0,2,2,976200
TUXTLA GUTIERREZ,Departamento,182.0,2,1,980000
TUXTLA GUTIERREZ,Casa,106.0,2,1,980000
TUXTLA GUTIERREZ,Casa,130.0,2,1,980000
TUXTLA GUTIERREZ,Casa,75.0,2,1,980000
TUXTLA GUTIERREZ,Casa,75.0,2,1,980000
TUXTLA GUTIERREZ,Casa,75.0,2,1,980000
TUXTLA GUTIERREZ,Casa,75.0,2,1,980000
TUXTLA GUTIERREZ,Casa,250.0,2,1,980000
TUXTLA GUTIERREZ,Casa,82.0,2,1,980000
TUXTLA GUTIERREZ,Casa,82.0,2,1,980000
TUXTLA GUTIERREZ,Casa,82.0,2,1,980000
TUXTLA GUTIERREZ,Casa,150.0,2,1,980000
TUXTLA GUTIERREZ,Casa,70.0,2,1,980000
TUXTLA GUTIERREZ,Casa,75.0,3,2,980000
TUXTLA GUTIERREZ,Casa,110.0,2,1,980000
TUXTLA GUTIERREZ,Casa,70.0,2,1,980000
TUXTLA GUTIERREZ,Casa,72.0,2,1,980000
TUXTLA GUTIERREZ,Casa,123.0,2,1,980000
TUXTLA GUTIERREZ,Casa,71.0,2,2,980000
TUXTLA GUTIERREZ,Casa,110.0,2,2,980000
TUXTLA GUTIERREZ,Casa,82.0,2,2,980000
TUXTLA GUTIERREZ,Departamento,102.0,3,2,980000
TUXTLA GUTIERREZ,Departamento,150.0,3,2,980000
TUXTLA GUTIERREZ,Departamento,60.0,3,2,980000
TUXTLA GUTIERREZ,Departamento,98.0,3,2,980000
TUXTLA GUTIERREZ,Casa,128.0,2,1,980000
TUXTLA GUTIERREZ,Casa,100.0,3,2,980000
TUXTLA GUTIERREZ,Casa,113.0,2,1,980000
TUXTLA GUTIERREZ,Casa,113.0,2,1,980000
TUXTLA GUTIERREZ,Casa,140.0,2,1,980000
TUXTLA GUTIERREZ,Casa,70.0,2,1,980000
TUXTLA GUTIERREZ,Casa,100.0,2,1,980000
TUXTLA GUTIERREZ,Casa,80.0,2,1,980000
TUXTLA GUTIERREZ,Departamento,105.0,3,2,990000
TUXTLA GUTIERREZ,Casa,150.0,2,1,990000
TUXTLA GUTIERREZ,Departamento,90.0,3,1,995000
TUXTLA GUTIERREZ,Departamento,102.0,3,2,1000000
TUXTLA GUTIERREZ,Casa,100.0,1,2,1000000
TUXTLA GUTIERREZ,Casa,102.0,4,3,1000000
TUXTLA GUTIERREZ,Casa,83.0,2,1,1000000
TUXTLA GUTIERREZ,Casa,140.0,2,1,1000000
TUXTLA GUTIERREZ,Casa,102.0,3,1,1000000
TUXTLA GUTIERREZ,Casa,82.0,1,1,1000000
TUXTLA GUTIERREZ,Casa,82.0,3,4,1000000
TUXTLA GUTIERREZ,Casa,102.0,2,1,1000000
TUXTLA GUTIERREZ,Casa,82.0,3,2,1000000
TUXTLA GUTIERREZ,Casa,102.0,2,1,1000000
TUXTLA GUTIERREZ,Casa,112.0,3,2,1000000
TUXTLA GUTIERREZ,Departamento,104.0,3,2,1000000
TUXTLA GUTIERREZ,Departamento,120.0,3,2,1000000
TUXTLA GUTIERREZ,Departamento,60.0,3,2,1000000
TUXTLA GUTIERREZ,Casa,60.0,4,2,1000000
TUXTLA GUTIERREZ,Departamento,60.0,3,2,1000000
TUXTLA GUTIERREZ,Departamento,60.0,3,2,1000000
TUXTLA GUTIERREZ,Departamento,60.0,3,2,1010000
TUXTLA GUTIERREZ,Casa,60.0,3,2,1031560
TUXTLA GUTIERREZ,Departamento,60.0,3,2,1040000
TUXTLA GUTIERREZ,Departamento,60.0,2,1,1050000
TUXTLA GUTIERREZ,Departamento,60.0,3,2,1050000
TUXTLA GUTIERREZ,Casa,60.0,2,3,1050000
TUXTLA GUTIERREZ,Departamento,60.0,2,1,1050000
TUXTLA GUTIERREZ,Casa,60.0,2,1,1050000
TUXTLA GUTIERREZ,Casa,60.0,2,2,1050000
TUXTLA GUTIERREZ,Departamento,60.0,2,1,1050000
TUXTLA GUTIERREZ,Casa,60.0,2,1,1050000
TUXTLA GUTIERREZ,Casa,60.0,3,2,1056100
TUXTLA GUTIERREZ,Departamento,60.0,3,2,1065000
TUXTLA GUTIERREZ,Casa,60.0,3,2,1065000
TUXTLA GUTIERREZ,Casa,60.0,2,1,1070000
TUXTLA GUTIERREZ,Casa,60.0,3,1,1075000
TUXTLA GUTIERREZ,Casa,60.0,2,1,1076000
TUXTLA GUTIERREZ,Casa,60.0,2,1,1080000
TUXTLA GUTIERREZ,Casa,60.0,2,1,1080000
TUXTLA GUTIERREZ,Casa,60.0,3,2,1090000
TUXTLA GUTIERREZ,Casa,60.0,3,2,1090000
TUXTLA GUTIERREZ,Casa,60.0,3,2,1100000
TUXTLA GUTIERREZ,Casa,60.0,2,1,1100000
TUXTLA GUTIERREZ,Casa,60.0,2,1,1100000
TUXTLA GUTIERREZ,Casa,60.0,2,1,1100000
TUXTLA GUTIERREZ,Departamento,112.0,3,2,1100000
TUXTLA GUTIERREZ,Casa,130.0,3,1,1100000
TUXTLA GUTIERREZ,Departamento,102.0,2,1,1100000
TUXTLA GUTIERREZ,Casa,120.0,3,1,1100000
TUXTLA GUTIERREZ,Casa,120.0,4,2,1100000
TUXTLA GUTIERREZ,Departamento,105.0,3,2,1100000
TUXTLA GUTIERREZ,Casa,96.0,2,2,1101400
TUXTLA GUTIERREZ,Departamento,220.0,2,2,1105000
TUXTLA GUTIERREZ,Casa,210.0,2,2,1122000
TUXTLA GUTIERREZ,Casa,55.0,3,1,1136200
TUXTLA GUTIERREZ,Departamento,55.0,3,2,1145000
TUXTLA GUTIERREZ,Departamento,102.0,3,2,1145000
TUXTLA GUTIERREZ,Departamento,102.0,3,2,1145000
TUXTLA GUTIERREZ,Departamento,102.0,3,2,1145000
TUXTLA GUTIERREZ,Departamento,102.0,3,2,1145000
TUXTLA GUTIERREZ,Departamento,116.0,3,2,1150000
TUXTLA GUTIERREZ,Casa,221.0,3,1,1150000
TUXTLA GUTIERREZ,Casa,63.0,1,1,1150000
TUXTLA GUTIERREZ,Casa,140.0,3,2,1150000
TUXTLA GUTIERREZ,Casa,70.0,3,2,1150000
TUXTLA GUTIERREZ,Casa,310.0,2,2,1150000
TUXTLA GUTIERREZ,Casa,80.0,4,2,1150000
TUXTLA GUTIERREZ,Casa,70.0,1,1,1150000
TUXTLA GUTIERREZ,Casa,70.0,1,1,1150000
TUXTLA GUTIERREZ,Casa,70.0,1,1,1150000
